match_id,player_index,champion,subteamId,kills,deaths,assists,kda,goldEarned,champLevel,totalDamageDealtToChampions,totalDamageTaken,totalHeal,damageSelfMitigated,teamDamagePercentage,damageTakenOnTeamPercentage,abilityUses,skillshotsHit,skillshotsDodged,augments,gameDuration,augment_name,rarity
TR1_1664433840,1,Yasuo,3,7,8,4,1.38,10000,15,25319,38947,15115,47506,0.1718662023701775,0.1514166747080708,186,7,17,7,1454,Blunt Force,0.0
TR1_1664433840,1,Yasuo,3,7,8,4,1.38,10000,15,25319,38947,15115,47506,0.1718662023701775,0.1514166747080708,186,7,17,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,1,Yasuo,3,7,8,4,1.38,10000,15,25319,38947,15115,47506,0.1718662023701775,0.1514166747080708,186,7,17,24,1454,Die Another Day,1.0
TR1_1664433840,1,Yasuo,3,7,8,4,1.38,10000,15,25319,38947,15115,47506,0.1718662023701775,0.1514166747080708,186,7,17,77,1454,Soul Siphon,1.0
TR1_1664433840,2,Skarner,3,5,7,7,1.71,10300,15,19976,45669,6385,85291,0.1355975628007275,0.177548934375722,218,2,14,136,1454,Slap Around,0.0
TR1_1664433840,2,Skarner,3,5,7,7,1.71,10300,15,19976,45669,6385,85291,0.1355975628007275,0.177548934375722,218,2,14,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,2,Skarner,3,5,7,7,1.71,10300,15,19976,45669,6385,85291,0.1355975628007275,0.177548934375722,218,2,14,23,1454,Demon's Dance,1.0
TR1_1664433840,2,Skarner,3,5,7,7,1.71,10300,15,19976,45669,6385,85291,0.1355975628007275,0.177548934375722,218,2,14,149,1454,Impassable,1.0
TR1_1664433840,3,Gragas,8,10,5,4,2.8,14500,18,37362,34297,7658,40127,0.0988869919232448,0.1255371563659975,337,0,20,56,1454,Mind to Matter,0.0
TR1_1664433840,3,Gragas,8,10,5,4,2.8,14500,18,37362,34297,7658,40127,0.0988869919232448,0.1255371563659975,337,0,20,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,3,Gragas,8,10,5,4,2.8,14500,18,37362,34297,7658,40127,0.0988869919232448,0.1255371563659975,337,0,20,65,1454,Phenomenal Evil,1.0
TR1_1664433840,3,Gragas,8,10,5,4,2.8,14500,18,37362,34297,7658,40127,0.0988869919232448,0.1255371563659975,337,0,20,16,1454,Combo Master,1.0
TR1_1664433840,3,Gragas,8,10,5,4,2.8,14500,18,37362,34297,7658,40127,0.0988869919232448,0.1255371563659975,337,0,20,242,1454,Juice Press,0.0
TR1_1664433840,4,TahmKench,6,2,8,5,0.88,9500,15,16278,36158,15240,81595,0.1104992862148447,0.1405707583093926,119,24,105,60,1454,Ocean Soul,0.0
TR1_1664433840,4,TahmKench,6,2,8,5,0.88,9500,15,16278,36158,15240,81595,0.1104992862148447,0.1405707583093926,119,24,105,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,4,TahmKench,6,2,8,5,0.88,9500,15,16278,36158,15240,81595,0.1104992862148447,0.1405707583093926,119,24,105,227,1454,Stats on Stats!,1.0
TR1_1664433840,4,TahmKench,6,2,8,5,0.88,9500,15,16278,36158,15240,81595,0.1104992862148447,0.1405707583093926,119,24,105,72,1454,Searing Dawn,1.0
TR1_1664433840,5,Leona,6,5,7,1,0.86,12461,15,24852,51752,14619,93826,0.1686957934088725,0.2011969155374351,251,22,78,237,1454,Transmute: Gold,0.0
TR1_1664433840,5,Leona,6,5,7,1,0.86,12461,15,24852,51752,14619,93826,0.1686957934088725,0.2011969155374351,251,22,78,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,5,Leona,6,5,7,1,0.86,12461,15,24852,51752,14619,93826,0.1686957934088725,0.2011969155374351,251,22,78,13,1454,Celestial Body,1.0
TR1_1664433840,5,Leona,6,5,7,1,0.86,12461,15,24852,51752,14619,93826,0.1686957934088725,0.2011969155374351,251,22,78,67,1454,Rabble Rousing,1.0
TR1_1664433840,6,Kaisa,7,13,8,5,2.25,25325,18,56436,57024,10053,31483,0.1493709202835475,0.208724466210451,167,9,25,49,1454,Juice Box,0.0
TR1_1664433840,6,Kaisa,7,13,8,5,2.25,25325,18,56436,57024,10053,31483,0.1493709202835475,0.208724466210451,167,9,25,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,6,Kaisa,7,13,8,5,2.25,25325,18,56436,57024,10053,31483,0.1493709202835475,0.208724466210451,167,9,25,2,1454,Apex Inventor,1.0
TR1_1664433840,6,Kaisa,7,13,8,5,2.25,25325,18,56436,57024,10053,31483,0.1493709202835475,0.208724466210451,167,9,25,301,1454,Divine Intervention,1.0
TR1_1664433840,6,Kaisa,7,13,8,5,2.25,25325,18,56436,57024,10053,31483,0.1493709202835475,0.208724466210451,167,9,25,120,1454,Serve Beyond Death,0.0
TR1_1664433840,7,Garen,1,3,6,2,0.83,9550,15,17207,20302,2825,19009,0.1168049314332127,0.0789311582618614,79,0,2,46,1454,Infernal Soul,0.0
TR1_1664433840,7,Garen,1,3,6,2,0.83,9550,15,17207,20302,2825,19009,0.1168049314332127,0.0789311582618614,79,0,2,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,7,Garen,1,3,6,2,0.83,9550,15,17207,20302,2825,19009,0.1168049314332127,0.0789311582618614,79,0,2,77,1454,Soul Siphon,1.0
TR1_1664433840,7,Garen,1,3,6,2,0.83,9550,15,17207,20302,2825,19009,0.1168049314332127,0.0789311582618614,79,0,2,82,1454,The Brutalizer,1.0
TR1_1664433840,8,Trundle,1,2,7,3,0.71,11050,15,20476,26371,7666,31408,0.138991894481463,0.1025247956414297,199,0,2,324,1454,Bravest of the Brave,0.0
TR1_1664433840,8,Trundle,1,2,7,3,0.71,11050,15,20476,26371,7666,31408,0.138991894481463,0.1025247956414297,199,0,2,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,8,Trundle,1,2,7,3,0.71,11050,15,20476,26371,7666,31408,0.138991894481463,0.1025247956414297,199,0,2,58,1454,Mystic Punch,2.0
TR1_1664433840,8,Trundle,1,2,7,3,0.71,11050,15,20476,26371,7666,31408,0.138991894481463,0.1025247956414297,199,0,2,243,1454,Transmute: Chaos,2.0
TR1_1664433840,9,Mel,4,0,8,1,0.12,6519,12,13830,15193,1394,16333,0.0938821654880772,0.0590656964427324,124,117,226,218,1454,Desecrator,0.0
TR1_1664433840,9,Mel,4,0,8,1,0.12,6519,12,13830,15193,1394,16333,0.0938821654880772,0.0590656964427324,124,117,226,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,9,Mel,4,0,8,1,0.12,6519,12,13830,15193,1394,16333,0.0938821654880772,0.0590656964427324,124,117,226,38,1454,From Beginning to End,1.0
TR1_1664433840,10,AurelionSol,8,6,7,8,2.0,13000,18,33269,42650,11657,21530,0.0880535406191862,0.1561131019738483,148,0,13,207,1454,Hold Very Still,0.0
TR1_1664433840,10,AurelionSol,8,6,7,8,2.0,13000,18,33269,42650,11657,21530,0.0880535406191862,0.1561131019738483,148,0,13,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,10,AurelionSol,8,6,7,8,2.0,13000,18,33269,42650,11657,21530,0.0880535406191862,0.1561131019738483,148,0,13,151,1454,Bread And Cheese,1.0
TR1_1664433840,10,AurelionSol,8,6,7,8,2.0,13000,18,33269,42650,11657,21530,0.0880535406191862,0.1561131019738483,148,0,13,47,1454,It's Critical,1.0
TR1_1664433840,10,AurelionSol,8,6,7,8,2.0,13000,18,33269,42650,11657,21530,0.0880535406191862,0.1561131019738483,148,0,13,97,1454,Witchful Thinking,0.0
TR1_1664433840,11,Poppy,7,6,6,12,3.0,18700,18,43963,33856,9511,49340,0.1163584608613221,0.1239243870453918,109,0,14,34,1454,Fallen Aegis,0.0
TR1_1664433840,11,Poppy,7,6,6,12,3.0,18700,18,43963,33856,9511,49340,0.1163584608613221,0.1239243870453918,109,0,14,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,11,Poppy,7,6,6,12,3.0,18700,18,43963,33856,9511,49340,0.1163584608613221,0.1239243870453918,109,0,14,89,1454,Vanish,1.0
TR1_1664433840,11,Poppy,7,6,6,12,3.0,18700,18,43963,33856,9511,49340,0.1163584608613221,0.1239243870453918,109,0,14,311,1454,Overflow,1.0
TR1_1664433840,12,Lucian,5,18,5,3,4.2,20750,18,94694,32305,4838,32264,0.2506275361525122,0.1182459082950542,250,18,84,187,1454,Flashbang,0.0
TR1_1664433840,12,Lucian,5,18,5,3,4.2,20750,18,94694,32305,4838,32264,0.2506275361525122,0.1182459082950542,250,18,84,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,12,Lucian,5,18,5,3,4.2,20750,18,94694,32305,4838,32264,0.2506275361525122,0.1182459082950542,250,18,84,301,1454,Divine Intervention,1.0
TR1_1664433840,12,Lucian,5,18,5,3,4.2,20750,18,94694,32305,4838,32264,0.2506275361525122,0.1182459082950542,250,18,84,92,1454,Vulnerability,1.0
TR1_1664433840,12,Lucian,5,18,5,3,4.2,20750,18,94694,32305,4838,32264,0.2506275361525122,0.1182459082950542,250,18,84,34,1454,Fallen Aegis,0.0
TR1_1664433840,13,Karma,2,9,6,11,3.33,16900,18,32933,31526,7142,105437,0.0871641252230152,0.1153964136932818,284,6,26,308,1454,Firefox,0.0
TR1_1664433840,13,Karma,2,9,6,11,3.33,16900,18,32933,31526,7142,105437,0.0871641252230152,0.1153964136932818,284,6,26,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,13,Karma,2,9,6,11,3.33,16900,18,32933,31526,7142,105437,0.0871641252230152,0.1153964136932818,284,6,26,118,1454,Critical Healing,1.0
TR1_1664433840,13,Karma,2,9,6,11,3.33,16900,18,32933,31526,7142,105437,0.0871641252230152,0.1153964136932818,284,6,26,74,1454,Shrink Ray,1.0
