match_id,player_index,champion,subteamId,kills,deaths,assists,kda,goldEarned,champLevel,totalDamageDealtToChampions,totalDamageTaken,totalHeal,damageSelfMitigated,teamDamagePercentage,damageTakenOnTeamPercentage,abilityUses,skillshotsHit,skillshotsDodged,augments,gameDuration
TR1_1664433840,1,Yasuo,3,7,8,4,1.38,10000,15,25319,38947,15115,47506,0.17186620237017758,0.15141667470807083,186,7,17,"[7, 48, 24, 77]",1454
TR1_1664433840,2,Skarner,3,5,7,7,1.71,10300,15,19976,45669,6385,85291,0.13559756280072754,0.17754893437572206,218,2,14,"[136, 48, 23, 149]",1454
TR1_1664433840,3,Gragas,8,10,5,4,2.8,14500,18,37362,34297,7658,40127,0.09888699192324482,0.1255371563659975,337,0,20,"[56, 48, 65, 16, 242]",1454
TR1_1664433840,4,TahmKench,6,2,8,5,0.88,9500,15,16278,36158,15240,81595,0.11049928621484476,0.14057075830939264,119,24,105,"[60, 48, 227, 72]",1454
TR1_1664433840,5,Leona,6,5,7,1,0.86,12461,15,24852,51752,14619,93826,0.16869579340887253,0.20119691553743516,251,22,78,"[237, 48, 13, 67]",1454
TR1_1664433840,6,Kaisa,7,13,8,5,2.25,25325,18,56436,57024,10053,31483,0.14937092028354754,0.208724466210451,167,9,25,"[49, 48, 2, 301, 120]",1454
TR1_1664433840,7,Garen,1,3,6,2,0.83,9550,15,17207,20302,2825,19009,0.11680493143321273,0.0789311582618614,79,0,2,"[46, 48, 77, 82]",1454
TR1_1664433840,8,Trundle,1,2,7,3,0.71,11050,15,20476,26371,7666,31408,0.13899189448146304,0.10252479564142973,199,0,2,"[324, 48, 58, 243]",1454
TR1_1664433840,9,Mel,4,0,8,1,0.12,6519,12,13830,15193,1394,16333,0.09388216548807725,0.059065696442732483,124,117,226,"[218, 48, 38]",1454
TR1_1664433840,10,AurelionSol,8,6,7,8,2.0,13000,18,33269,42650,11657,21530,0.0880535406191862,0.15611310197384837,148,0,13,"[207, 48, 151, 47, 97]",1454
TR1_1664433840,11,Poppy,7,6,6,12,3.0,18700,18,43963,33856,9511,49340,0.11635846086132218,0.12392438704539187,109,0,14,"[34, 48, 89, 311]",1454
TR1_1664433840,12,Lucian,5,18,5,3,4.2,20750,18,94694,32305,4838,32264,0.25062753615251226,0.11824590829505424,250,18,84,"[187, 48, 301, 92, 34]",1454
TR1_1664433840,13,Karma,2,9,6,11,3.33,16900,18,32933,31526,7142,105437,0.0871641252230152,0.11539641369328185,284,6,26,"[308, 48, 118, 74, 80]",1454
TR1_1664433840,14,Aurora,2,12,5,7,3.8,19900,18,64410,27352,10608,41981,0.1704762158133251,0.1001173771272473,436,7,32,"[73, 48, 92, 223, 207]",1454
TR1_1664433840,15,Yuumi,5,3,5,17,4.0,20750,18,14758,14190,9473,16711,0.03906220912384672,0.05194118928872787,371,29,5,"[44, 48, 33, 21, 97]",1454
TR1_1664433840,16,Rammus,4,1,6,0,0.17,6200,12,9378,22827,2279,30140,0.0636621638026246,0.0887450667233557,140,0,87,"[237, 48, 152]",1454
TR1_1657751538,1,Thresh,7,4,3,0,1.33,6000,9,9582,10736,818,5912,0.05099371291794678,0.052922055794382014,66,7,18,[39],1281
TR1_1657751538,2,Sett,1,8,7,6,2.0,19761,18,78692,65711,25785,91410,0.1671108178477821,0.14399517306898726,158,4,9,"[237, 206, 208, 82]",1281
TR1_1657751538,3,Volibear,1,7,6,6,2.17,17150,18,30525,59647,9118,68527,0.06482472583374059,0.13070626145237754,194,0,2,"[49, 9, 123, 238]",1281
TR1_1657751538,4,Vi,8,7,9,10,1.89,15250,18,55806,58785,14489,69400,0.11851032096591405,0.12881859300435855,182,0,1,"[57, 136, 195, 84]",1281
TR1_1657751538,5,Sett,6,12,5,4,3.2,21255,18,86034,57004,17013,69710,0.1827035037744904,0.12491487554828057,150,0,3,"[7, 39, 48, 118]",1281
TR1_1657751538,6,Jhin,6,6,10,5,1.1,18765,18,49737,38048,6554,24425,0.105621542546649,0.08337655698557378,122,3,7,"[80, 105, 195, 71]",1281
TR1_1657751538,7,Shyvana,7,0,4,4,1.0,6100,9,10081,11933,1701,7109,0.05364885293839535,0.058825562520123345,76,7,10,[46],1281
TR1_1657751538,8,Amumu,2,0,7,4,0.57,10200,14,7290,19865,1640,27748,0.03879460070775326,0.0979234153464006,134,12,18,"[171, 49, 234]",1281
TR1_1657751538,9,Sett,2,5,6,0,0.83,9205,14,26255,52587,16729,41637,0.13971314007195768,0.2592204107388464,75,0,6,"[60, 305, 79]",1281
TR1_1657751538,10,Briar,3,7,6,6,2.17,13000,17,25537,24653,23648,25658,0.1358923105714061,0.12152642835205149,174,9,13,"[136, 138, 115, 250]",1281
TR1_1657751538,11,Ambessa,3,7,6,6,2.17,13000,17,39809,27519,5791,40481,0.21184214877817953,0.1356495276978,154,0,8,"[214, 237, 125, 227]",1281
TR1_1657751538,12,Briar,4,9,5,9,3.6,18260,18,68450,66772,60173,56082,0.1453625606736406,0.1463208145624129,241,6,13,"[22, 58, 238]",1281
TR1_1657751538,13,Tristana,4,10,7,6,2.29,18260,18,54795,44761,15363,33017,0.1163645222127222,0.09808610332995017,137,0,4,"[87, 322, 134, 71]",1281
TR1_1657751538,14,Illaoi,8,10,5,2,2.4,18750,18,46855,65614,22217,52197,0.09950200614506108,0.14378162204805922,213,8,9,"[32, 237, 48, 313]",1281
TR1_1657751538,15,Singed,5,3,6,4,1.17,11750,15,34776,25615,2317,38849,0.18505579808966943,0.1262667847246063,96,0,25,"[237, 176, 86]",1281
TR1_1657751538,16,Corki,5,6,11,3,0.82,14477,15,34588,29956,3765,16578,0.18405943592469187,0.14766581482578983,163,22,32,"[206, 79]",1281
TR1_1657744801,1,Riven,2,7,8,13,2.5,11550,16,53739,53033,14682,183357,0.09785400707673232,0.09174031539958781,615,8,50,"[98, 27, 19]",1645
TR1_1657744801,2,Sion,2,19,6,6,4.17,13550,16,74500,90945,15597,208479,0.13565849958929438,0.15732134334683404,298,31,71,"[152, 41, 123]",1645
TR1_1657744801,3,Sylas,6,17,14,7,1.71,19600,18,76087,130902,70380,100291,0.13854822669641925,0.22644154992906476,608,11,135,"[238, 30, 45, 16]",1645
TR1_1657744801,4,Zed,7,6,12,2,0.67,7500,14,41989,27808,3159,26297,0.14446031095024442,0.0794521388190938,247,17,55,"[16, 125, 243]",1645
TR1_1657744801,5,Caitlyn,8,13,11,4,1.55,24493,18,68689,31363,7231,22044,0.12507660409316054,0.05425412445782457,217,21,60,"[74, 81, 225, 312]",1645
TR1_1657744801,6,Vi,1,9,9,9,2.0,21018,18,53195,41493,14743,43174,0.09686431896676163,0.07177769211373725,190,0,12,"[154, 194, 11, 250]",1645
TR1_1657744801,7,Fiora,1,11,6,8,3.17,16000,18,78760,52238,36759,50060,0.14341565138043566,0.0903642789838963,355,4,31,"[250, 11, 6, 238]",1645
TR1_1657744801,8,MissFortune,4,2,8,3,0.62,7500,13,27207,19900,2603,11602,0.0936063149708483,0.05685801454718048,82,38,207,"[84, 156]",1645
TR1_1657744801,9,TahmKench,3,9,5,3,2.4,10003,15,52932,124118,39174,106538,0.1821102990875466,0.35461705483968836,166,31,50,"[313, 54, 123]",1645
TR1_1657744801,10,Yasuo,4,3,7,2,0.71,7000,13,12319,17704,1882,17520,0.04238436302096992,0.050582477161662344,130,2,114,"[52, 115]",1645
TR1_1657744801,11,Pantheon,3,4,17,3,0.41,11000,15,24806,33179,2820,43048,0.08534424226685014,0.09479515003509745,210,2,29,"[154, 195, 234]",1645
TR1_1657744801,12,TwistedFate,5,9,9,4,1.44,15403,15,66793,25619,3498,14574,0.22979667790166872,0.07319632198257074,285,55,160,"[38, 48, 86]",1645
TR1_1657744801,13,Alistar,7,3,8,4,0.88,7502,14,22663,54179,6827,115184,0.07797070269773096,0.15479491477240767,132,0,43,"[152, 18, 208]",1645
TR1_1657744801,14,Maokai,6,14,4,16,7.5,21506,18,66105,141733,100310,294366,0.12037189397866897,0.24517679522166153,281,16,161,"[13, 243, 54, 90]",1645
TR1_1657744801,15,Sett,5,5,7,7,1.71,10002,15,41950,47497,8637,55393,0.14432708910414094,0.13570392784229918,123,0,35,"[64, 66, 58]",1645
TR1_1657744801,16,Zed,8,10,11,11,1.91,22753,18,78099,36375,8270,33354,0.14221079821852725,0.06292390054739376,487,55,83,"[82, 48, 19, 150]",1645
TR1_1654572006,1,Mordekaiser,6,8,9,3,1.22,12009,16,50129,69260,35270,91173,0.21535252720098297,0.2298732696472244,298,0,51,"[313, 234, 129, 45]",1452
TR1_1654572006,2,Maokai,6,4,7,6,1.43,13756,16,42684,58795,22130,138095,0.18336997289573795,0.1951425203306195,246,16,110,"[65, 234, 154, 193]",1452
TR1_1654572006,3,Rengar,3,7,5,11,3.6,17753,18,54162,56087,29975,47223,0.10934380131550006,0.1252310898194424,222,0,7,"[23, 234, 64, 310]",1452
TR1_1654572006,4,Shen,3,13,4,5,4.5,19256,18,73384,53327,22315,118988,0.1481504993587539,0.11906688051057257,245,0,11,"[36, 234, 238, 166, 151]",1452
TR1_1654572006,5,Gragas,7,14,6,6,3.33,24620,18,106117,61837,36793,115856,0.21423316842134915,0.13806833525901552,530,31,77,"[311, 234, 312, 30, 103]",1452
TR1_1654572006,6,Karthus,5,4,7,0,0.57,9391,14,33037,17738,1371,7676,0.14192522142883326,0.05887508122358898,260,27,51,"[38, 234, 211, 195]",1452
TR1_1654572006,7,Zyra,8,0,6,2,0.33,7250,13,14145,16423,2530,6502,0.060769437438953695,0.05450898129557662,137,13,31,"[98, 234, 312]",1452
TR1_1654572006,8,Jinx,4,7,7,4,1.57,11253,16,45811,32455,10456,15799,0.09248592269458564,0.0724654387732344,145,18,79,"[71, 234, 77, 79]",1452
TR1_1654572006,9,Leona,1,8,2,16,12.0,24256,18,66101,82880,57765,238010,0.1334468997847645,0.1850539656677344,190,13,50,"[2, 234, 13, 18, 94]",1452
