match_id,player_index,champion,subteamId,kills,deaths,assists,kda,goldEarned,champLevel,totalDamageDealtToChampions,totalDamageTaken,totalHeal,damageSelfMitigated,teamDamagePercentage,damageTakenOnTeamPercentage,abilityUses,skillshotsHit,skillshotsDodged,augments,gameDuration
NA1_5424634266,1,Thresh,8,6,7,5,1.57,11000,16,30193,87730,34702,141750,0.12753468942016125,0.23306873050181764,155,19,76,"[110, 152, 78]",1601
NA1_5424634266,2,Smolder,8,5,10,4,0.9,11250,16,51285,52247,24614,18829,0.2166239326243018,0.138802149874981,183,22,74,"[206, 250, 41]",1601
NA1_5424634266,3,Sona,3,6,5,14,4.0,16250,18,51789,60690,64468,78349,0.08899220995084176,0.12860170735032525,430,26,87,"[76, 215, 219, 5]",1601
NA1_5424634266,4,Zaahen,3,14,5,6,4.0,16750,18,99478,84441,30138,134140,0.1709388899849667,0.17892858713453436,460,52,125,"[308, 238, 18, 2]",1601
NA1_5424634266,5,Ornn,7,0,6,1,0.17,6700,12,22941,38942,5920,45389,0.09690037758068899,0.10345658090158089,158,19,40,"[39, 67]",1601
NA1_5424634266,6,Mel,6,15,7,4,2.71,14000,17,70847,28133,6912,12391,0.12174047802687574,0.05961322177042299,260,293,718,"[171, 65, 45, 223]",1601
NA1_5424634266,7,Nunu,5,6,7,17,3.29,19550,18,59460,94503,69397,478129,0.10217400437424436,0.20024954560931757,519,153,304,"[218, 94, 18, 215]",1601
NA1_5424634266,8,Brand,6,5,6,14,3.17,12750,18,41597,54006,8522,32090,0.0714793646798673,0.11443680771829838,206,117,357,"[56, 50, 195, 133]",1601
NA1_5424634266,9,Rengar,7,1,7,0,0.14,6000,12,10783,20055,7951,14923,0.04555019585419188,0.05328085225404041,107,0,23,"[237, 23]",1601
NA1_5424634266,10,Leona,4,1,6,1,0.33,6250,12,14285,23175,2081,26475,0.06034144266450386,0.06156817630454675,100,9,60,"[181, 149]",1601
NA1_5424634266,11,Kled,4,1,9,1,0.22,6951,12,12093,22929,1351,19510,0.05108279499425869,0.06091589352366079,43,14,57,"[228, 320]",1601
NA1_5424634266,12,Mordekaiser,2,8,6,4,2.0,11250,16,46079,56175,18623,61085,0.19463571223432585,0.14923749133446546,242,0,34,"[308, 313, 41]",1601
NA1_5424634266,13,DrMundo,2,4,8,7,1.38,10750,16,49085,75158,24032,61721,0.20733085462756767,0.19967012530490708,285,49,83,"[46, 313, 1]",1601
NA1_5424634266,14,Ornn,1,3,6,14,2.83,14250,17,34055,48316,1982,65109,0.0585193372325542,0.102379801438057,216,17,40,"[40, 150, 75, 94]",1601
NA1_5424634266,15,Draven,1,16,8,3,2.38,21696,17,112695,44785,23164,53298,0.19364897210882406,0.09489820081842014,308,16,39,"[214, 200, 225, 71]",1601
NA1_5424634266,16,Pyke,5,18,6,6,4.0,21000,18,112030,57052,32466,112921,0.19250674364182588,0.12089212816062432,292,32,138,"[218, 227, 219, 74]",1601
NA1_5424615913,1,Jhin,1,10,7,8,2.57,19505,18,80939,31310,6096,22336,0.1519973292653191,0.06395460507441288,202,3,20,"[81, 115, 22, 220]",1494
NA1_5424615913,2,Hwei,1,9,6,9,3.0,16005,18,58288,38907,10340,50065,0.10946002568623533,0.07947088854801301,357,13,37,"[156, 166, 44, 86]",1494
NA1_5424615913,3,Illaoi,3,10,9,7,1.89,12350,17,62263,57724,24310,116243,0.11692418188577577,0.11790502823896211,266,9,52,"[174, 166, 49, 41]",1494
NA1_5424615913,4,Rammus,3,8,4,9,4.25,13825,17,38759,55834,14930,143154,0.07278645478016614,0.114045197163929,293,0,18,"[216, 75, 85, 41]",1494
NA1_5424615913,5,FiddleSticks,8,3,6,7,1.67,11250,16,40102,35085,13837,29068,0.23591846446757922,0.16055307871352578,251,0,6,"[48, 156, 80]",1494
NA1_5424615913,6,Garen,4,0,6,0,0.0,5950,12,13729,16482,1696,18430,0.08076758949481976,0.07542645142160902,98,0,7,"[219, 195]",1494
NA1_5424615913,7,Alistar,4,0,6,0,0.0,5750,12,9014,38390,3974,40092,0.05302809865548,0.17567687947845326,92,0,7,"[216, 219]",1494
NA1_5424615913,8,Morgana,5,5,7,13,2.57,19615,18,37314,46515,27956,47574,0.07007299039832444,0.09501091283553188,348,68,140,"[66, 1, 208]",1494
NA1_5424615913,9,Sivir,5,14,7,4,2.57,18605,18,114657,32000,10263,24951,0.21531570390231836,0.06536351127619246,359,31,88,"[225, 14, 51, 79]",1494
NA1_5424615913,10,Draven,7,2,7,2,0.57,7926,13,15214,16769,2205,11221,0.08950183149665471,0.07673832638767393,107,13,23,"[115, 195]",1494
NA1_5424615913,11,Aatrox,7,2,7,2,0.57,7500,13,9258,21262,6562,18367,0.05446386674625302,0.09730023995314892,179,10,35,"[1, 6]",1494
NA1_5424615913,12,Ornn,2,4,7,1,0.71,11000,15,33128,44466,12610,83357,0.19488894549225885,0.20348382746164245,173,22,63,"[224, 18, 42]",1494
NA1_5424615913,13,Nautilus,2,3,7,4,1.0,11655,15,25854,25634,3958,48046,0.15210004946484967,0.11730366753607509,342,16,68,"[30, 58, 176]",1494
NA1_5424615913,14,Ambessa,6,10,4,14,6.0,19355,28,72808,144041,19769,352837,0.1367273259701806,0.29421371936277085,365,0,95,"[96, 41, 237, 125]",1494
NA1_5424615913,15,Bard,6,16,6,8,4.0,22258,18,67477,83246,44967,116952,0.12671598811168025,0.1700361375001878,395,153,211,"[234, 48, 251, 78]",1494
NA1_5424615913,16,Lucian,8,7,7,3,1.43,11270,15,23684,20436,3134,15859,0.1393311541821048,0.09351752904787154,210,8,14,"[219, 225, 218]",1494
NA1_5424582553,1,Evelynn,1,3,7,5,1.14,9806,15,19649,20675,2835,16030,0.09708930776872342,0.08592333811546586,185,21,45,"[218, 223, 25]",1539
NA1_5424582553,2,Samira,1,5,7,3,1.14,10211,15,23024,25791,9659,17204,0.11376254952305202,0.1071844543942404,128,15,40,"[187, 118, 237]",1539
NA1_5424582553,3,Sion,2,13,6,3,2.67,10824,17,58049,72567,4538,147713,0.2868207836333587,0.3015753375239445,180,6,24,"[181, 13, 176, 2]",1539
NA1_5424582553,4,Karthus,2,5,9,8,1.44,10756,17,43118,36927,8331,36780,0.21304665951127283,0.1534645309550056,181,0,9,"[93, 50, 322, 36]",1539
NA1_5424582553,5,Jayce,8,7,7,2,1.29,7754,14,19501,22039,2464,24668,0.09635440661796084,0.09159075323136881,270,14,32,"[39, 84, 138]",1539
NA1_5424582553,6,Yone,6,4,7,6,1.43,13412,18,38108,29837,15856,71940,0.10494407511678587,0.08388506670400855,247,2,26,"[222, 77, 251, 84]",1539
NA1_5424582553,7,Kindred,6,9,7,2,1.57,13991,18,41514,36183,13297,29507,0.11432283021222711,0.1017251683687537,221,11,26,"[206, 90, 73, 238]",1539
NA1_5424582553,8,Kindred,5,13,6,7,3.33,22329,18,58181,25888,8527,24982,0.16021958559462424,0.07278318551372485,164,33,47,"[17, 63, 22, 52]",1539
NA1_5424582553,9,Twitch,5,7,6,10,2.83,21156,18,49968,34354,11141,28068,0.13760306924490387,0.09658368234364223,114,3,21,"[205, 36, 97, 129]",1539
NA1_5424582553,10,Pyke,3,1,6,3,0.67,6383,12,9708,19563,7148,10341,0.047970454759954935,0.08130304955489674,102,16,51,"[187, 227]",1539
NA1_5424582553,11,Singed,3,4,7,1,0.71,6262,12,12505,20348,2425,11579,0.06178826204027543,0.08456289420400066,46,0,26,"[205, 211]",1539
NA1_5424582553,12,Seraphine,7,7,8,7,1.75,12050,17,44796,40643,14872,27367,0.12336231771560725,0.11426652112235491,331,77,155,"[105, 318, 46, 150]",1539
NA1_5424582553,13,Rengar,8,2,10,6,0.8,7950,14,16832,22714,5621,17206,0.08316757614540182,0.09439564202107738,135,0,16,"[206, 151, 60]",1539
NA1_5424582553,14,Sejuani,4,3,6,18,3.5,22266,18,35889,67312,16905,146305,0.09883295562710354,0.18924170087674388,224,8,29,"[80, 312, 220, 320]",1539
NA1_5424582553,15,Nasus,4,19,6,3,3.67,20766,18,61166,84716,48968,133539,0.16844199746180208,0.2381715219953726,517,0,29,"[171, 98, 40, 129]",1539
NA1_5424582553,16,Yorick,7,7,6,7,2.33,11750,17,33507,36758,10828,40710,0.09227316902694603,0.10334315307539929,239,15,93,"[32, 72, 102, 70]",1539
