match_id,player_index,champion,subteamId,kills,deaths,assists,kda,goldEarned,champLevel,totalDamageDealtToChampions,totalDamageTaken,totalHeal,damageSelfMitigated,teamDamagePercentage,damageTakenOnTeamPercentage,abilityUses,skillshotsHit,skillshotsDodged,augments,gameDuration
EUW1_7619494172,1,Leona,7,6,7,9,2.14,13810,17,32732,49548,11571,69839,0.07790526354088431,0.1093663889661092,236,28,95,"[232, 154, 149, 94]",1466
EUW1_7619494172,2,Sion,8,9,6,12,3.5,20190,18,32461,43227,11479,97720,0.07726003424113259,0.09541462043849455,161,12,41,"[232, 313, 23, 75]",1466
EUW1_7619494172,3,MonkeyKing,6,6,7,9,2.14,18750,18,43321,51217,21947,110486,0.10310696620470286,0.11305018166638303,235,0,46,"[251, 58, 64, 79]",1466
EUW1_7619494172,4,DrMundo,8,17,3,8,8.33,19795,18,77676,102187,45714,97726,0.18487357402583882,0.22555341300676432,194,43,68,"[237, 152, 20, 15]",1466
EUW1_7619494172,5,Seraphine,1,8,7,7,2.14,13400,18,39129,35998,14183,42635,0.09313092345057657,0.07945828707083959,221,77,113,"[222, 88, 198, 227]",1466
EUW1_7619494172,6,Renekton,1,8,8,8,2.0,14910,18,60323,93882,29455,85462,0.14357188886511374,0.20722159287737482,442,0,82,"[120, 58, 16, 231]",1466
EUW1_7619494172,7,TwistedFate,7,9,10,4,1.3,17259,17,59198,42761,11352,26454,0.14089566759412345,0.09438599756122716,284,66,164,"[242, 38, 241, 16]",1466
EUW1_7619494172,8,Xayah,5,1,8,1,0.25,6950,13,14222,15309,2495,8386,0.08140647178288665,0.09495552052774996,90,5,25,"[308, 51]",1466
EUW1_7619494172,9,Xerath,5,1,6,1,0.33,6950,13,8590,13535,888,6807,0.049169074179261134,0.08395280332791248,145,1,11,"[324, 133]",1466
EUW1_7619494172,10,Gangplank,2,11,7,2,1.86,12906,15,40527,29667,6209,19399,0.2319664385496547,0.18400737772877834,182,0,16,"[324, 41, 48]",1466
EUW1_7619494172,11,Nasus,2,3,6,8,1.83,10800,15,26592,31947,5719,39473,0.1522048708908838,0.19814757634403143,162,0,16,"[181, 53, 5]",1466
EUW1_7619494172,12,Velkoz,3,10,6,2,2.0,11800,17,69843,27429,3457,22539,0.39976291362255084,0.1701265351666063,259,24,58,"[97, 86, 211, 180]",1466
EUW1_7619494172,13,Lulu,3,2,8,8,1.25,11800,17,6324,29650,8019,26759,0.036199567301710416,0.1839008612516769,179,15,51,"[222, 79, 77, 92]",1466
EUW1_7619494172,14,Veigar,6,11,7,4,2.14,17770,18,75316,34227,6828,34371,0.17925568207762765,0.07554951841280734,228,49,67,"[218, 48, 92, 219]",1466
EUW1_7619494172,15,Ziggs,4,0,4,0,0.0,3610,9,4552,6687,189,1860,0.026058557473380047,0.041479875947855675,66,2,15,[44],1466
EUW1_7619494172,16,Kindred,4,0,4,0,0.0,3600,9,4058,7002,814,2434,0.023232106199672385,0.04342944970538891,27,0,17,[28],1466
EUW1_7619432132,1,Sion,4,10,3,15,8.33,27858,18,70450,72041,7268,373063,0.1350929649471301,0.13269082611236988,197,23,63,"[218, 39, 215, 18]",1542
EUW1_7619432132,2,Zaahen,4,16,5,7,4.6,21304,18,92538,124713,94748,106981,0.17744914278646698,0.2297059965390027,404,31,69,"[60, 138, 238, 115]",1542
EUW1_7619432132,3,Ziggs,2,1,6,0,0.17,6359,12,13638,15857,2237,11311,0.07359308007176256,0.08118549409087708,190,35,70,"[32, 97]",1542
EUW1_7619432132,4,Akshan,2,0,7,0,0.0,6353,12,7990,16216,1631,15120,0.043119686528636125,0.08302383722564405,112,17,59,"[17, 170]",1542
EUW1_7619432132,5,Brand,7,3,6,5,1.33,12262,16,28896,21721,3042,16591,0.155930765832623,0.11120649571305749,213,3,26,"[205, 226, 92]",1542
EUW1_7619432132,6,Varus,7,5,6,3,1.33,10253,16,27012,19002,3775,13814,0.14576159786296372,0.09728546786397235,68,5,46,"[46, 57, 74]",1542
EUW1_7619432132,7,Kayle,3,1,8,4,0.62,7006,13,20527,21204,6112,11796,0.11076788261750986,0.10855694738547338,82,18,59,"[44, 206]",1542
EUW1_7619432132,8,Sion,3,5,6,1,1.0,7006,13,22228,33626,5773,85510,0.1199487616248277,0.17215388662599745,116,21,62,"[181, 204]",1542
EUW1_7619432132,9,Riven,8,9,7,7,2.29,18003,18,46372,47999,17838,98613,0.08892244740469547,0.08840942913114463,455,2,28,"[138, 214, 63, 195]",1542
EUW1_7619432132,10,Xayah,6,5,10,2,0.7,9812,15,34831,26694,5226,13775,0.18795512445959797,0.13666672169560373,172,9,51,"[22, 51, 77]",1542
EUW1_7619432132,11,Kindred,5,5,7,8,1.86,11512,17,39753,27765,10658,19694,0.07623073530926604,0.051141070031234165,144,2,37,"[204, 80, 321, 78]",1542
EUW1_7619432132,12,FiddleSticks,5,8,6,5,2.17,11812,17,35250,31889,11330,19574,0.06759439158396029,0.05873662230722985,179,0,18,"[136, 205, 198, 195]",1542
EUW1_7619432132,13,Zaahen,6,3,7,5,1.14,11012,15,30192,41003,14752,52559,0.16292310100207907,0.20992114939937448,206,5,63,"[73, 187, 84]",1542
EUW1_7619432132,14,Volibear,1,10,7,8,2.57,20950,18,84921,124675,30461,120868,0.16284191269947373,0.2296371852589028,248,0,33,"[56, 120, 103, 54]",1542
EUW1_7619432132,15,Zyra,1,9,5,10,3.8,24750,18,94641,41219,10614,65753,0.18148009968211,0.07592023215676885,528,26,59,"[218, 136, 103, 45]",1542
EUW1_7619432132,16,Zaahen,8,11,5,8,3.8,20506,18,57566,72620,23953,75506,0.11038830558689738,0.13375863846334712,272,17,111,"[171, 181, 71, 18]",1542
EUW1_7618430726,1,Mel,8,13,7,2,2.14,13800,17,54037,32621,5997,37093,0.12386109453649319,0.09542829437894124,221,48,105,"[156, 205, 218, 133]",1315
EUW1_7618430726,2,Nunu,1,5,7,2,1.0,11050,23,44481,64743,33424,72249,0.173960834926281,0.17737411935672837,299,140,178,"[96, 110, 138]",1315
EUW1_7618430726,3,Alistar,1,2,9,3,0.56,12300,15,14124,44392,5513,79927,0.05523853315517816,0.121620608999749,109,0,90,"[234, 218, 110]",1315
EUW1_7618430726,4,Zaahen,5,4,6,3,1.17,7500,14,42965,54347,23887,52883,0.1680295092693825,0.1488942801714249,199,14,40,"[6, 171, 136]",1315
EUW1_7618430726,5,Zaahen,6,10,8,7,2.12,15000,18,69648,48783,18485,66137,0.1596434666724113,0.14270620667047018,270,9,23,"[166, 51, 34, 64]",1315
EUW1_7618430726,6,Urgot,7,4,6,2,1.0,8917,14,40624,44187,4525,35275,0.15887576554188904,0.1210582507009734,112,17,33,"[220, 120, 181]",1315
EUW1_7618430726,7,Zac,5,4,6,4,1.33,7500,14,24321,69953,54431,49174,0.09511590140080822,0.1916494351599533,132,9,66,"[41, 112, 42]",1315
EUW1_7618430726,8,Vi,2,3,9,11,1.56,16300,18,37110,50223,14252,60104,0.08506236876363175,0.14692037582266515,169,0,10,"[219, 138, 32, 211]",1315
EUW1_7618430726,9,Kaisa,2,14,7,3,2.43,21590,18,93557,43185,15796,45931,0.21444643280168788,0.12633083596665104,381,20,28,"[228, 206, 51, 92]",1315
EUW1_7618430726,10,Ivern,6,7,5,11,3.6,13500,18,31074,24668,7846,37187,0.07122636062093547,0.0721623874473226,508,19,36,"[62, 97, 93, 149]",1315
EUW1_7618430726,11,Karma,7,2,7,4,0.86,8000,14,20406,21809,4152,18815,0.07980803684467515,0.05974948836289246,214,14,25,"[219, 136, 37]",1315
EUW1_7618430726,12,Camille,8,3,5,12,3.0,11000,17,42711,62409,25861,81035,0.09789890371862797,0.18256874561259728,320,1,49,"[216, 46, 206, 23]",1315
EUW1_7618430726,13,Bard,3,10,2,12,11.0,23310,18,49752,23626,22208,42755,0.11403891656418816,0.06911641925958606,138,10,22,"[156, 97, 205, 129]",1315
EUW1_7618430726,14,Zaahen,3,13,1,8,21.0,16550,18,58383,56324,25668,50761,0.13382245632202427,0.16476673484176646,291,4,20,"[225, 171, 120, 71]",1315
EUW1_7618430726,15,Shyvana,4,4,7,3,1.0,9500,15,39440,42971,17231,53919,0.15424483712882758,0.11772772145383639,157,14,19,"[48, 28, 102]",1315
EUW1_7618430726,16,Quinn,4,3,9,3,0.67,11550,15,29335,22603,3437,13552,0.11472658173295833,0.06192609579444218,71,8,18,"[48, 22, 237]",1315
EUW1_7617876402,1,Vi,6,11,7,7,2.57,25487,18,57415,39882,13266,29674,0.12062865611391631,0.11107482292884374,260,0,32,"[217, 11, 116, 322]",1574
EUW1_7617876402,2,Cassiopeia,7,5,8,3,1.0,7712,15,22831,37411,5094,28730,0.13084466811808235,0.12400526342724393,238,11,129,"[180, 41, 211]",1574
EUW1_7617876402,3,Senna,2,3,9,10,1.44,12865,16,29419,23161,7379,13949,0.06181053605875483,0.06450429739539328,74,14,38,"[141, 195, 61]",1574
EUW1_7617876402,4,Lucian,2,11,6,2,2.17,10809,16,49874,33464,12125,28473,0.10478564849368614,0.09319979777858775,315,27,61,"[47, 54, 133]",1574
EUW1_7617876402,5,Renekton,7,3,8,3,0.75,8525,14,20006,35127,8495,27785,0.11465561176933677,0.11643528171704182,161,0,39,"[313, 219, 215]",1574
EUW1_7617876402,6,Xayah,1,7,6,1,1.33,11027,15,34804,22900,3517,12063,0.19945709530305694,0.07590778533992892,146,10,42,"[71, 225, 52]",1574
EUW1_7617876402,7,Rakan,1,1,6,6,1.17,9500,15,10884,24106,9719,18799,0.06237529350794273,0.07990548981702401,235,5,44,"[103, 35, 198]",1574
EUW1_7617876402,8,Naafiri,3,17,8,2,2.38,20250,18,78256,37451,11403,32717,0.16441494103735527,0.10430368781884268,195,1,69,"[82, 310, 223, 32]",1574
EUW1_7617876402,9,Shyvana,3,3,4,18,5.25,16750,18,50761,62911,24413,78483,0.10664978712461924,0.1752096307052787,291,12,86,"[13, 156, 84, 22]",1574
EUW1_7617876402,10,Rumble,8,14,6,6,3.33,24453,18,92934,45374,9577,74386,0.19525357054859407,0.12636986656614596,261,27,248,"[33, 45, 309, 120]",1574
EUW1_7617876402,11,Aatrox,4,4,8,6,1.25,11562,15,31973,53512,27592,44413,0.1832319861908402,0.17737543941334105,211,4,29,"[84, 75, 2]",1574
EUW1_7617876402,12,TahmKench,4,6,7,3,1.29,10059,15,22377,68588,12859,167302,0.12824450386478126,0.22734719531453854,161,8,61,"[118, 125, 94]",1574
EUW1_7617876402,13,TahmKench,5,3,6,2,0.83,7003,14,13357,29196,6985,43463,0.07655006259760395,0.09677683866720223,98,26,45,"[152, 18, 150]",1574
EUW1_7617876402,14,Hecarim,6,11,6,8,3.17,25978,29,76635,67030,30810,143294,0.1610097884697411,0.186682580643175,296,7,96,"[36, 96, 67, 87]",1574
EUW1_7617876402,15,MissFortune,8,7,7,9,2.29,23768,18,40670,49785,24067,51860,0.08544707215333305,0.1386553161637329,159,27,333,"[77, 81, 312, 305]",1574
EUW1_7617876402,16,Volibear,5,2,8,3,0.62,7018,14,18259,30846,6741,31691,0.10464077864835582,0.10224670630367953,163,0,21,"[118, 1, 149]",1574
EUW1_7617595064,1,Skarner,4,13,7,9,3.14,28016,18,54341,68472,9829,276570,0.0970560007626354,0.12567829182386664,483,2,92,"[90, 238, 234, 320]",1914
EUW1_7617595064,2,Annie,6,1,8,2,0.38,6755,14,11570,23399,1536,22572,0.04694765409967871,0.08418227353044869,179,0,10,"[97, 192, 48]",1914
EUW1_7617595064,3,Illaoi,5,3,7,2,0.71,11375,15,27944,36646,11580,27966,0.1133879285616912,0.13183842370485502,186,7,23,"[181, 90, 48]",1914
EUW1_7617595064,4,Tryndamere,8,18,7,3,3.0,25600,18,69013,74578,11851,91043,0.12325963451602749,0.13688558900145312,84,0,31,"[39, 52, 79, 77]",1914
EUW1_7617595064,5,Talon,3,10,9,14,2.67,19655,18,56878,39984,12016,36697,0.10158612283760088,0.07338900256298346,239,38,146,"[324, 62, 310, 27]",1914
EUW1_7617595064,6,Katarina,3,14,8,8,2.75,18500,18,70640,44653,30744,40420,0.126166344767069,0.08195882303082198,155,2,83,"[171, 154, 177, 2]",1914
EUW1_7617595064,7,Nasus,1,14,8,8,2.75,30205,18,79647,107691,45699,169065,0.14225292007060295,0.19766097807379168,264,0,56,"[138, 79, 103]",1914
EUW1_7617595064,8,Briar,1,10,16,12,1.38,27660,18,57616,78932,69420,51460,0.10290456980406426,0.1448760685496733,313,6,70,"[237, 152, 225, 52]",1914
EUW1_7617595064,9,Bard,6,3,9,1,0.44,6955,14,40051,35108,20487,31057,0.16251271334214626,0.1263047660169328,158,51,58,"[205, 180, 135]",1914
EUW1_7617595064,10,RekSai,5,3,8,1,0.5,10325,15,16805,46680,8568,40488,0.06818880962144917,0.16793704122495648,168,3,21,"[324, 208, 41]",1914
EUW1_7617595064,11,Garen,2,12,6,0,2.0,10805,16,40964,31944,5490,48192,0.16621807818381631,0.11492165197749203,114,0,11,"[32, 74, 125]",1914
EUW1_7617595064,12,Sett,2,0,6,11,1.83,10765,16,15588,32455,1048,52816,0.06325221437354016,0.11676165839970587,92,0,8,"[218, 231, 11]",1914
EUW1_7617595064,13,Soraka,8,4,7,18,3.14,31030,18,49104,74401,95647,76121,0.0877028404903471,0.13655943907776819,547,30,83,"[326, 198, 15, 92]",1914
EUW1_7617595064,14,Renekton,7,7,7,9,2.29,18805,18,38932,43229,12808,55006,0.15797513726740212,0.1555216230634768,269,0,37,"[226, 103, 14, 118]",1914
EUW1_7617595064,15,Corki,7,9,6,7,2.67,17015,18,54592,28500,7140,20672,0.22151746455027607,0.10253256208213231,167,28,66,"[46, 77, 323, 301]",1914
